episode,return
1,-377.67670836485206
2,-321.79217956054015
3,-221.65425622603607
4,-277.45950398840466
5,-168.68087808203137
6,-243.91812100897747
7,-344.344604813747
8,-113.66394411635622
9,-365.7290816108522
10,-394.54400612220894
11,-336.3345546258136
12,-423.6445109385543
13,-445.7627315421846
14,-312.85105860178817
15,-385.93916853418136
16,-391.9722536978467
17,-248.02645934472977
18,-26.874123978958252
19,-405.340014988829
20,-359.99103645188416
21,-443.32990849664066
22,-310.6996937347053
23,-379.04391790563864
24,-364.4600304503635
25,-349.04187172653775
26,-383.1297704249967
27,-285.79833149419096
28,-232.02956160035046
29,-270.1053571164778
30,-439.5579408155176
31,-461.2365205408991
32,-362.8052356757149
33,-238.67004883525374
34,-404.2720767228347
35,-348.427269275412
36,-415.2924377356828
37,-378.0365461770497
38,-306.3791907987318
39,-515.5898836102207
40,-317.4222103465031
41,-369.2919860623627
42,-368.84373027494706
43,-293.8382811350534
44,-410.8999950401291
45,-283.59198179317684
46,-334.72260469583017
47,-349.01481054949693
48,-289.3760278006645
49,-240.86793884957265
50,-313.397659141458
51,-423.75567136396285
52,-313.02687897642255
53,-386.724273526295
54,-185.93388985568907
55,-423.1718290558053
56,-310.5698606746405
57,-323.03026889419925
58,-358.50719940061373
59,-375.06242677976184
60,-193.923194809984
61,-390.50438135851834
62,-407.70211309092144
63,-431.7177102099863
64,-236.47337840578342
65,-438.02455550323504
66,-403.92857879027366
67,-179.64446732206102
68,-432.3207379625046
69,-179.63256808547854
70,-324.88204790043585
71,-307.8543985560168
72,-335.817685977095
73,-412.7759245754791
74,-452.2542939681175
75,-361.617516107668
76,-206.49282076866743
77,-353.315379612675
78,-413.3498125054173
79,-334.7764956125601
80,-515.4592959863346
81,-314.9785941214306
82,-344.21251892202673
83,-449.3885684058434
84,-327.9298448687994
85,-468.25225250143075
86,-445.17874618068225
87,-339.55189458770155
88,-492.9170197199249
89,-147.23094517815179
90,-432.75833696996597
91,-432.80875192418324
92,-402.3929936309035
93,-215.5146368890975
94,-494.2172830228724
95,-387.20312653877914
96,-250.93862452002432
97,-299.46033790118565
98,-419.6265186022379
99,-442.8136345998293
100,-443.95237958272907
101,-388.99690546410255
102,-299.14075301770305
103,-401.51324698025593
104,-270.4561832473818
105,-405.3465234908562
106,-378.68969361301095
107,-364.99849721870044
108,-445.9121999222868
109,-360.25740441809796
110,-225.94583940763735
111,-278.323210936198
112,-336.4856088036704
113,-495.701566365826
114,-426.83598393391105
115,-316.29805968938075
116,-374.3694742764727
117,-418.5023343661407
118,-446.46778985499697
119,-447.96552344948594
120,-178.31936666783176
121,-369.9073771711695
122,-342.0911280867682
123,-387.0187143337168
124,-323.075569041893
125,-226.517557192416
126,-460.1047406604783
127,-351.9415344157688
128,-377.8047313485409
129,-447.9393853871905
130,-332.969337681566
131,-376.2385637118112
132,-237.6332788245027
133,-432.7074000935568
134,-344.02776133335834
135,-484.69471785135124
136,-436.11544942655775
137,-482.5750638324877
138,-382.1789940905056
139,-323.7389175028225
140,-400.32495407094706
141,-542.1680029525021
142,-634.50733134452
143,-399.21755848673206
144,-467.79370381442493
145,-344.55550484467653
146,-398.13835379180966
147,-310.4011029269817
148,-353.86422196061164
149,-445.1676678924846
150,-470.9800050760294
151,-401.39352317468257
152,-387.6827931387208
153,-234.8023150229458
154,-184.48368027723825
155,-441.75585460969853
156,-263.6108057594575
157,-446.91113981818705
158,-197.99022077707696
159,-491.1980293864475
160,-419.66695577346036
161,-476.2339638659909
162,-581.5998947619277
163,-352.0325309361434
164,-413.7651226598047
165,-381.40056776575307
166,-368.58167359009417
167,-363.806198534902
168,-485.37805217233085
169,-294.01782634379015
170,-524.7645322865857
171,-402.819374673657
172,-477.8710624306797
173,-493.25102786023666
174,-310.9726265619423
175,-312.2689501089093
176,-302.0242527671141
177,-432.9005970881297
178,-552.5108645498342
179,-266.96227477734516
180,-548.6902506720459
181,-275.77177321298217
182,-240.02373668454078
183,-390.77237679743683
184,-254.08841904594271
185,-356.30429686804223
186,-217.78850961079954
187,-550.5669321790765
188,-426.1675247345675
189,-511.55994232905164
190,-426.2679515180886
191,-503.0994528718381
192,-408.30529329481726
193,-465.5612024173936
194,-255.68163942971114
195,-504.6608574256987
196,-472.6659597964752
197,-360.8418187887687
198,-497.24171552751994
199,-503.31457927765706
200,-201.6264034393919
